Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
170,1562,1,1,101,198,1865,3912,3153,3435,2789,1416,2844,362,1779,2338,2817,3873
2956,2905,2089,546,3831,2726,3865,3795,1920,1748,2633,3610,1460,2006,692,320,1217,3508
1198,3175,1688,3114,370,2769,3338,347,1073,3706,1973,1029,3251,587,1374,3176,3545,1304
737,2173,3429,3213,1703,2002,1111,2045,1019,1783,3847,2017,2338,2020,1210,338,1183,2441
2002,1744,2354,2355,3067,1352,2494,3360,558,1267,1105,919,1232,3536,1373,2446,1299,1201
2699,1525,2092,343,3617,1152,246,3470,367,1068,1258,3910,2024,1674,2393,1092,3767,1008
110,3412,673,1551,2396,3364,1147,670,258,1344,1130,2049,2184,900,1762,933,2662,1007
434,1881,2090,1739,2864,2231,77,1507,2162,1248,188,1031,1092,1600,1037,259,1090,416
1525,2450,2987,2040,2700,2268,549,390,2143,1252,1994,2099,164,1353,1274,1805,1205,714
21,2871,616,1812,3622,1785,1310,2804,3877,2727,1214,1772,1422,931,1199,1590,1200,3368
